D_MUNICIPIO,D_ESTACION,F_FECHA,x,y,Contaminante,Registro_contaminante,id
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-08,37.34081591397662,-5.830987308079198,O3,78.66145833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-08,37.34081591397662,-5.830987308079198,SO2,4.458333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-10,37.34081591397662,-5.830987308079198,PM10,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-10,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-10,37.34081591397662,-5.830987308079198,NO2,6.521739130434783,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-10,37.34081591397662,-5.830987308079198,O3,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-10,37.34081591397662,-5.830987308079198,SO2,3.5652173913043477,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-11,37.34081591397662,-5.830987308079198,PM10,26.448333333333334,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-11,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-11,37.34081591397662,-5.830987308079198,NO2,7.166666666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-11,37.34081591397662,-5.830987308079198,O3,79.46875,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-11,37.34081591397662,-5.830987308079198,SO2,3.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-12,37.34081591397662,-5.830987308079198,PM10,36.481208333333335,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-12,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-12,37.34081591397662,-5.830987308079198,NO2,9.016375,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-12,37.34081591397662,-5.830987308079198,O3,81.474875,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-12,37.34081591397662,-5.830987308079198,SO2,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-13,37.34081591397662,-5.830987308079198,PM10,35.689416666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-13,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-13,37.34081591397662,-5.830987308079198,NO2,11.833333333333334,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-13,37.34081591397662,-5.830987308079198,O3,77.96304166666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-13,37.34081591397662,-5.830987308079198,SO2,3.6666666666666665,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-14,37.34081591397662,-5.830987308079198,PM10,33.028083333333335,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-14,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-14,37.34081591397662,-5.830987308079198,NO2,5.583333333333334,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-14,37.34081591397662,-5.830987308079198,O3,79.58854166666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-14,37.34081591397662,-5.830987308079198,SO2,3.5416666666666665,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-15,37.34081591397662,-5.830987308079198,PM10,25.934,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-15,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-15,37.34081591397662,-5.830987308079198,NO2,4.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-15,37.34081591397662,-5.830987308079198,O3,73.90625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-15,37.34081591397662,-5.830987308079198,SO2,3.25,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-16,37.34081591397662,-5.830987308079198,PM10,31.997041666666668,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-16,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-16,37.34081591397662,-5.830987308079198,NO2,11.666666666666668,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-16,37.34081591397662,-5.830987308079198,O3,75.515625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-16,37.34081591397662,-5.830987308079198,SO2,4.208333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-17,37.34081591397662,-5.830987308079198,PM10,37.471041666666665,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-17,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-17,37.34081591397662,-5.830987308079198,NO2,7.708333333333334,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-17,37.34081591397662,-5.830987308079198,O3,82.47916666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-17,37.34081591397662,-5.830987308079198,SO2,4.25,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-18,37.34081591397662,-5.830987308079198,PM10,44.476166666666664,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-18,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-18,37.34081591397662,-5.830987308079198,NO2,6.916666666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-18,37.34081591397662,-5.830987308079198,O3,79,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-18,37.34081591397662,-5.830987308079198,SO2,3.125,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-19,37.34081591397662,-5.830987308079198,PM10,49.418,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-19,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-19,37.34081591397662,-5.830987308079198,NO2,14.458333333333332,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-19,37.34081591397662,-5.830987308079198,O3,70.38020833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-19,37.34081591397662,-5.830987308079198,SO2,3.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-20,37.34081591397662,-5.830987308079198,PM10,45.78808333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-20,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-20,37.34081591397662,-5.830987308079198,NO2,7.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-20,37.34081591397662,-5.830987308079198,O3,75.02604166666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-20,37.34081591397662,-5.830987308079198,SO2,3.5416666666666665,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-21,37.34081591397662,-5.830987308079198,PM10,33.97470833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-21,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-21,37.34081591397662,-5.830987308079198,NO2,4.333333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-21,37.34081591397662,-5.830987308079198,O3,65.63020833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-21,37.34081591397662,-5.830987308079198,SO2,3.25,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-22,37.34081591397662,-5.830987308079198,PM10,24.528666666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-22,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-22,37.34081591397662,-5.830987308079198,NO2,4.541666666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-22,37.34081591397662,-5.830987308079198,O3,61.36458333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-22,37.34081591397662,-5.830987308079198,SO2,3.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-23,37.34081591397662,-5.830987308079198,PM10,34.481458333333336,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-23,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-23,37.34081591397662,-5.830987308079198,NO2,8.05625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-23,37.34081591397662,-5.830987308079198,O3,74.36070833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-23,37.34081591397662,-5.830987308079198,SO2,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-24,37.34081591397662,-5.830987308079198,PM10,37.99,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-24,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-24,37.34081591397662,-5.830987308079198,NO2,12.833333333333332,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-24,37.34081591397662,-5.830987308079198,O3,69.35416666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-24,37.34081591397662,-5.830987308079198,SO2,5.666666666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-25,37.34081591397662,-5.830987308079198,PM10,33.44225,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-25,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-25,37.34081591397662,-5.830987308079198,NO2,5.375,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-25,37.34081591397662,-5.830987308079198,O3,56.09895833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-25,37.34081591397662,-5.830987308079198,SO2,4.208333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-26,37.34081591397662,-5.830987308079198,PM10,14.242333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-26,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-26,37.34081591397662,-5.830987308079198,NO2,3.833333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-26,37.34081591397662,-5.830987308079198,O3,35.421875,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-26,37.34081591397662,-5.830987308079198,SO2,3.9583333333333335,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-27,37.34081591397662,-5.830987308079198,PM10,17.641916666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-27,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-27,37.34081591397662,-5.830987308079198,NO2,8.5,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-27,37.34081591397662,-5.830987308079198,O3,52.05729166666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-27,37.34081591397662,-5.830987308079198,SO2,3.2916666666666665,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-28,37.34081591397662,-5.830987308079198,PM10,19.835208333333334,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-28,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-28,37.34081591397662,-5.830987308079198,NO2,6.5,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-28,37.34081591397662,-5.830987308079198,O3,78.19270833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-28,37.34081591397662,-5.830987308079198,SO2,4.208333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-29,37.34081591397662,-5.830987308079198,PM10,22.477666666666668,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-29,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-29,37.34081591397662,-5.830987308079198,NO2,4.791666666666666,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-29,37.34081591397662,-5.830987308079198,O3,79.78645833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-29,37.34081591397662,-5.830987308079198,SO2,4.375,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-30,37.34081591397662,-5.830987308079198,PM10,29.337875,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-30,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-30,37.34081591397662,-5.830987308079198,NO2,14.458333333333332,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-30,37.34081591397662,-5.830987308079198,O3,67.484375,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-09-30,37.34081591397662,-5.830987308079198,SO2,4.458333333333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-01,37.34081591397662,-5.830987308079198,PM10,38.354083333333335,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-01,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-01,37.34081591397662,-5.830987308079198,NO2,19.125,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-01,37.34081591397662,-5.830987308079198,O3,68.171875,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-01,37.34081591397662,-5.830987308079198,SO2,4.791666666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-02,37.34081591397662,-5.830987308079198,PM10,33.237208333333335,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-02,37.34081591397662,-5.830987308079198,PM25,NA,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-02,37.34081591397662,-5.830987308079198,NO2,14.625,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-02,37.34081591397662,-5.830987308079198,O3,47.44270833333333,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-02,37.34081591397662,-5.830987308079198,SO2,4.666666666666667,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-03,37.34081591397662,-5.830987308079198,PM10,23.969875000000002,1
ALCALÁ DE GUADAÍRA,ALCALÁ DE GUADAÍRA,2024-10-03,37.34081591397662,-5.830987308079198,PM25,NA,1
